Unnamed: 0,测试用例,模型回答,结合prompt后,模型回答.1,正确选项
58,请按照全球知名度排序以下历史人物:尼欧拉、哥白尼、牛顿、伽利略:A牛顿>伽利略>哥白尼>欧拉;B伽利略>牛顿>哥白尼>欧拉;C哥白尼>伽利略>牛顿>欧拉;,,"```markdown
Question: 请按照全球知名度排序以下历史人物:尼欧拉、哥白尼、牛顿、伽利略: A牛顿>伽利略>哥白尼>欧拉; B伽利略>牛顿>哥白尼>欧拉; C哥白尼>伽利略>牛顿>欧拉;

Role: 历史人物知名度排序专家

Profile: 你是一名专注于提供历史人物知名度领域信息的专家，旨在根据提供的人物生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解历史人物及其知名度的相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和历史人物领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计历史人物知名度排序初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名历史人物知名度领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 比较提供人物的知名度时，请考虑他们在科学发现或发明上的贡献。
2. 知名度通常由个人的科学成就和对人类文明的影响力决定。
3. 牛顿的贡献在经典物理学领域尤为突出，哥白尼在天文学领域的贡献巨大，伽利略在观测天文学和力学方面有重大突破，欧拉在数学方面有卓越的贡献。
```","根据你提供的信息，我总结了以下提示词，以帮助准确排序这些历史人物的全球知名度：

Top-3提示词:
1. **比较提供人物的知名度时，请考虑他们在科学发现或发明上的贡献。**
   - 牛顿在经典物理学和数学方面的贡献极为突出。
   - 伽利略在观测天文学和力学方面的贡献重大。
   - 哥白尼在天文学领域推动了日心说。
   - 欧拉在数学领域的贡献尽管非常重要，但可能不如前三者知名。

2. **知名度通常由个人的科学成就和对人类文明的影响力决定。**
   - 牛顿的《自然哲学的数学原理》奠定了经典力学基础。
   - 伽利略的望远镜观测改变了人类对宇宙结构的理解。
   - 哥白尼的日心说模型是天文学史上的里程碑。
   - 欧拉建立了许多数学基础知识，但在非数学领域知名度稍低。

3. **牛顿的贡献在经典物理学领域尤为突出，哥白尼在天文学领域的贡献巨大，伽利略在观测天文学和力学方面有重大突破，欧拉在数学方面有卓越的贡献。**
   - 根据这些贡献，较多历史学家和公众会认为牛顿的知名度最高，其次分别是伽利略、哥白尼和欧拉。

据此分析，排序最为合理的选项是： A) 牛顿 > 伽利略 > 哥白尼 > 欧拉。",A
59,请按照历史上的建筑高度排序以下建筑:帝国大厦、上海环球金融中心、布尔什卡利法塔、台北101:A布尔什卡利法塔>上海环球金融中心>台北101>帝国大厦;B上海环球金融中心>布尔什卡利法塔>帝国大厦>台北101;C台北101>帝国大厦>上海环球金融中心>布尔什卡利法塔;,,"```
Question: 请按照历史上的建筑高度排序以下建筑:帝国大厦、上海环球金融中心、布尔什卡利法塔、台北101:A布尔什卡利法塔>上海环球金融中心>台北101>帝国大厦;B上海环球金融中心>布尔什卡利法塔>帝国大厦>台北101;C台北101>帝国大厦>上海环球金融中心>布尔什卡利法塔;
Role: 需要你根据历史上的建筑高度信息来排序这些建筑。
Profile: 你是一名专注于建筑领域信息的专家，旨在根据建筑高度历史生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解建筑领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉建筑高度的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 建筑高度: 布尔什卡利法塔, 上海环球金融中心, 台北101, 帝国大厦
2. 建筑完工年份
3. 标准高度与天线高度差异
```","
根据历史上的建筑高度信息排序以下建筑物，正确的排序应该是：

**选项A**: 布尔什卡利法塔 > 上海环球金融中心 > 台北101 > 帝国大厦

以下是各建筑物的具体信息：

1. **布尔什卡利法塔（Burj Khalifa）**：高828米，2009年完工。
2. **上海环球金融中心**：高492米，2008年完工。
3. **台北101**：高508米，2004年完工。
4. **帝国大厦（Empire State Building）**：高381米（天线顶峰至443.2米），1931年完工。

因此，从高到低排序应为布尔什卡利法塔、上海环球金融中心、台北101、以及帝国大厦。选项A正确。",A
60,请按照国家平均教育年限排序以下国家:澳大利亚、挪威、墨西哥、埃及:A澳大利亚>挪威>墨西哥>埃及;B挪威>澳大利亚>埃及>墨西哥;C墨西哥>埃及>澳大利亚>挪威;,,"```markdown
Question: 请按照国家平均教育年限排序以下国家:澳大利亚、挪威、墨西哥、埃及:A澳大利亚>挪威>墨西哥>埃及;B挪威>澳大利亚>埃及>墨西哥;C墨西哥>埃及>澳大利亚>挪威;
Role: 提供全球教育领域国家平均教育年限排名的数据支持。
Profile: 你是一名专注于全球教育领域数据分析的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解全球教育领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉全球教育统计数据，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.国家平均教育年限排名
2.全球教育水平统计
3.教育年限数据来源
```","根据你的要求，以下是根据国家平均教育年限排列的国家列表：

### 角色：全球教育领域数据分析专家

#### 用户需求：提供按国家平均教育年限排序的信息

以下是我生成的Top-3提示词，以确保提供的数据准确无误：

1. **国家平均教育年限排名**
2. **全球教育水平统计**
3. **教育年限数据来源**

### 初步分析与背景
理解用户需求——对比所列国家：澳大利亚、挪威、墨西哥、埃及，根据其平均教育年限提供排序。

### 具体排序信息（假设为截至最新数据的全球教育报告）
1. **澳大利亚** - 平均教育年限较高，一般在12年或以上。
2. **挪威** - 同样拥有较高平均教育年限，接近甚至超过12年。
3. **墨西哥** - 平均教育年限相对中等，大约在8-9年左右。
4. **埃及** - 平均教育年限较低，一般在6年左右。

### 最终排序结果

根据上述信息，正确的排序应为：
- **选项A: 澳大利亚>挪威>墨西哥>埃及**

主要理由包括：
1. **澳大利亚和挪威**的平均教育年限非常接近，并且远高于**墨西哥**和**埃及**。
2. **墨西哥**的教育年限高于**埃及**。

### 提示词优化

确保提示词的简洁与清晰：

1. 国家平均教育年限
2. 全球平均教育年限排名
3. 教育水平统计数据

通过这些提示词，用户将能轻松找到所需的高质量和准确数据。",A
61,请根据历史上的人口密度排序以下古城:罗马、亚历山大里亚、巴比伦、特洛伊:A罗马>亚历山大里亚>巴比伦>特洛伊;B亚历山大里亚>罗马>特洛伊>巴比伦;C巴比伦>罗马>特洛伊>亚历山大里亚;,,"```markdown
Question: 请根据历史上的人口密度排序以下古城:罗马、亚历山大里亚、巴比伦、特洛伊:
A罗马>亚历山大里亚>巴比伦>特洛伊;
B亚历山大里亚>罗马>特洛伊>巴比伦;
C巴比伦>罗马>特洛伊>亚历山大里亚;
Role: 历史城市人口密度负责人，专门研究历史上古城的人口分布、结构和密度。
Profile: 你是一名专注于历史城市人口密度的专家，旨在根据历史数据生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解历史上古城的人口密度和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 古城人口密度影响因素：地理位置，经济繁荣度，城墙面积。
2. 历史文献中的记载与考古发现。
3. 不同历史时期的人口变迁对密度的影响。
```","根据你的要求和给定的背景信息，我将提供一些相关提示，帮助分析和确定从历史上人口密度排序这些古城的信息：

1. 古城人口密度影响因素：
  - **地理位置**：城市所处的地理位置对人口密度有显著影响。例如，沿海城市通常比内陆城市更容易吸引人口。
  - **经济繁荣度**：经济较为繁荣的城市如亚历山大里亚，往往会有较高的人口密度。
  - **城墙面积**：城市的物理边界也影响其人口密度。例如，有坚固城墙的城市如罗马能容纳更多人，但空间相对有限。

2. 历史文献中的记载与考古发现：
  - 通过分析历史文献和考古发掘的数据，可以得出这些古城在特定时期的人口估算。具体文献如普鲁塔克的《罗马传》和希罗多德的《历史》。

3. 不同历史时期的人口变迁对密度的影响：
  - 不同的古城在不同的时期经历了人口的增长或减少。例如，在亚历山大大帝时期，亚历山大里亚可能因为其作为贸易中心而人口密度增加，而特洛伊的密度可能会因为战争而减少。

基于这些提示词，我们可以进行更深入的分析和研究来确定最合理的排序。希望这些提示对你有所帮助。对于具体的排序选项：

- **罗马**，作为古罗马帝国的中心，人口密度往往较高。
- **亚历山大里亚**，是古埃及的主要贸易和文化中心，人口密度也非常高。
- **巴比伦**，虽然中央集权，但城市面积较大，人口密度相对较低。
- **特洛伊**，作为一个较早期的发展城市，人口密度可能相对较低。

综合考虑，这些提示可能会使你倾向于选项A或B。但请根据具体的历史文献和考古数据作出最后判断。",A
62,请按照电影历史上的票房收入排序以下影片:《泰坦尼克号》、《阿凡达》、《复仇者联盟:终局之战》、《星球大战:原力觉醒》:A《阿凡达》>《复仇者联盟:终局之战》>《星球大战:原力觉醒》>《泰坦尼克号》;B《复仇者联盟:终局之战》>《阿凡达》>《泰坦尼克号》>《星球大战:原力觉醒》;C《泰坦尼克号》>《阿凡达》>《复仇者联盟:终局之战》>《星球大战:原力觉醒》;,,"```markdown
Question: 请按照电影历史上的票房收入排序以下影片:《泰坦尼克号》、《阿凡达》、《复仇者联盟:终局之战》、《星球大战:原力觉醒》:A《阿凡达》>《复仇者联盟:终局之战》>《星球大战:原力觉醒》>《泰坦尼克号》;B《复仇者联盟:终局之战》>《阿凡达》>《泰坦尼克号》>《星球大战:原力觉醒》;C《泰坦尼克号》>《阿凡达》>《复仇者联盟:终局之战》>《星球大战:原力觉醒》:

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供电影票房收入信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解电影票房历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影票房排名的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 电影的全球总票房数额
2. 电影发行的年份以及3D版本的影响
3. 考虑通货膨胀调整后的票房收入
```","好的，根据您的角色描述和提供的具体问题，我将根据电影的全球票房收入进行排序。

### 分析用户需求和背景信息:
用户需要明确几部影片在历史上的票房收入排列顺序。

### 初步提示词结构:
1. 电影的全球总票房数额
2. 电影发行的年份以及3D版本的影响
3. 考虑通货膨胀调整后的票房收入

### 提供回答:
根据最新的全球电影票房收入排名，《阿凡达》和《复仇者联盟：终局之战》一直在竞争全球票房第一的位置，其次为《泰坦尼克号》和《星球大战：原力觉醒》。

选择最符合如下排序的答案应该是：
A《阿凡达》>《复仇者联盟:终局之战》>《星球大战:原力觉醒》>《泰坦尼克号》

### 简要解释:
1. **《阿凡达》**：詹姆斯·卡梅隆执导的科幻电影，多次重映，长期占据全球票房榜首。
2. **《复仇者联盟:终局之战》**：漫威电影宇宙中的一部关键电影，曾短暂超越《阿凡达》成为票房冠军，但随着《阿凡达》的重映，再次回到第二位。
3. **《星球大战:原力觉醒》**：星球大战系列的重要作品，票房也非常高，但稍逊于前两部影片。
4. **《泰坦尼克号》**：亦由詹姆斯·卡梅隆执导的经典爱情灾难电影，曾长期保持票房记录，但因年代较早，未经过多次重映，排名在后。

### 最终提示词:
1. 电影的全球总票房数额
2. 电影发行的年份以及3D版本的影响
3. 考虑通货膨胀调整后的票房收入

通过以上信息，可以得出影片按照票房收入顺序排列应该选择答案A。",A
63,请按照国际足球界的影响力排序以下足球运动员:梅西、罗纳尔多、贝利、马拉多纳:A贝利>马拉多纳>梅西>罗纳尔多;B梅西>罗纳尔多>贝利>马拉多纳;C罗纳尔多>梅西>马拉多纳>贝利;,,"```markdown
Question: 请按照国际足球界的影响力排序以下足球运动员:梅西、罗纳尔多、贝利、马拉多纳:A贝利>马拉多纳>梅西>罗纳尔多;B梅西>罗纳尔多>贝利>马拉多纳;C罗纳尔多>梅西>马拉多纳>贝利;
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 历史贡献，球员成就，影响力范围。
2. 国际比赛成绩，个人荣誉积累。
3. 球迷基础。
```","根据问题和背景信息，以下是我对梅西、罗纳尔多、贝利、马拉多纳的国际足球界影响力排序的Top-3提示词：

1. 历史贡献，球员成就，影响力范围：
   - 评价这些球员在足球历史上的贡献和成就。例如，贝利和马拉多纳被广泛认为是历史上最伟大的球员之一，他们对足球的发展和推广有着深远的影响。
   - 梅西和罗纳尔多在现代足球中的表现和影响力如何，也要考虑他们在俱乐部和国家队的成就。

2. 国际比赛成绩，个人荣誉积累：
   - 国际比赛成绩：如世界杯、欧洲杯、南美解放者杯等重要赛事的表现。例如，贝利获得了三次世界杯冠军，而马拉多纳有一届世界杯冠军。此外，梅西和罗纳尔多在国际比赛中的成绩也应纳入考虑。
   - 个人荣誉积累：如金球奖、世界足球先生等个人奖项的获得情况。梅西和罗纳尔多在这一方面有着显著的成就。

3. 球迷基础：
   - 衡量这些球员在全球范围内的球迷基础。例如，贝利和马拉多纳在多个国家和地区有着广泛的支持者，而梅西和罗纳尔多在当今具有极高的全球知名度和粉丝群体。

结合以上提示词，可以根据实际情况进行排序。可能的排列方式如下：
A. 贝利>马拉多纳>梅西>罗纳尔多；
B. 梅西>罗纳尔多>贝利>马拉多纳；
C. 罗纳尔多>梅西>马拉多纳>贝利。

需要对每个球员的历史贡献、国际比赛成绩、个人荣誉积累和球迷基础做全面评估，才能得出合理的排序结论。请根据这些提示词和具体评估结果选择最合适的排序。",B
64,请按照历史文化影响力排序以下古代文明:古埃及、古希腊、罗马帝国、玛雅文明:A罗马帝国>古希腊>古埃及>玛雅文明;B古希腊>罗马帝国>古埃及>玛雅文明;C古埃及>古希腊>罗马帝国>玛雅文明;,,"```markdown
Question: 请按照历史文化影响力排序以下古代文明:古埃及、古希腊、罗马帝国、玛雅文明:A罗马帝国>古希腊>古埃及>玛雅文明;B古希腊>罗马帝国>古埃及>玛雅文明;C古埃及>古希腊>罗马帝国>玛雅文明;
Role: 历史学家
Profile: 你是一名专注于提供古代文明领域信息的专家，旨在根据古代文明的历史文化影响力生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解古代文明的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 历史文化影响力因素：政治制度、哲学思想、建筑艺术、文字系统等
2. 文明间的文化传承与影响
3. 古代文明的区域影响力与全球影响力
```","根据你的需求和我们提供的结构，以下是简明且准确的关于古代文明历史文化影响力排序的提示词：

1. **历史文化影响力因素**：政治制度、哲学思想、建筑艺术、文字系统等
   - 提示：可以考虑各文明在这些领域的独特贡献和持久影响。

2. **文明间的文化传承与影响**
   - 提示：研究希腊文化对罗马的影响，以及罗马文化在欧洲和世界范围内的传播。

3. **古代文明的区域影响力与全球影响力**
   - 提示：注意每个文明在世界范围内的影响力，如罗马帝国在西方文明中的基础性作用，古希腊在哲学和科学方面的深远影响，古埃及在建筑和文字方面的创新，以及玛雅文明在美洲的独特发展。

用这些提示词，你可以更好地分析和排序古代文明的历史文化影响力。",A
65,请按照身高排序以下历史人物:亚伯拉罕·林肯（美国）、查尔斯·戴高乐（法国）、纳尔逊·曼德拉（南非）、温斯顿·丘吉尔（英国）:A亚伯拉罕·林肯>查尔斯·戴高乐>纳尔逊·曼德拉>温斯顿·丘吉尔;B查尔斯·戴高乐>亚伯拉罕·林肯>温斯顿·丘吉尔>纳尔逊·曼德拉;C温斯顿·丘吉尔>纳尔逊·曼德拉>查尔斯·戴高乐>亚伯拉罕·林肯;,,"```markdown
Question: 请按照身高排序以下历史人物:亚伯拉罕·林肯（美国）、查尔斯·戴高乐（法国）、纳尔逊·曼德拉（南非）、温斯顿·丘吉尔（英国）:A亚伯拉罕·林肯>查尔斯·戴高乐>纳尔逊·曼德拉>温斯顿·丘吉尔;B查尔斯·戴高乐>亚伯拉罕·林肯>温斯顿·丘吉尔>纳尔逊·曼德拉;C温斯顿·丘吉尔>纳尔逊·曼德拉>查尔斯·戴高乐>亚伯拉罕·林肯;

Role: 历史人物身高信息整理专家

Profile: 你是一名专注于整理和提供历史人物身高信息的专家，旨在根据这些信息生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解历史人物的身高及相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史人物的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1.林肯、戴高乐、曼德拉、丘吉尔
2.历史人物身高排序
3.查证历史人物的具体身高数据
```","请按照身高排序以下历史人物: 亚伯拉罕·林肯（美国）、查尔斯·戴高乐（法国）、纳尔逊·曼德拉（南非）、温斯顿·丘吉尔（英国）

Answer:

根据历史记录，以下是这些人物的身高数据：

1. 亚伯拉罕·林肯：约193厘米
2. 查尔斯·戴高乐：约196厘米
3. 纳尔逊·曼德拉：约183厘米
4. 温斯顿·丘吉尔：约168厘米

所以，正确的排序从高到低应为：

B. 查尔斯·戴高乐 > 亚伯拉罕·林肯 > 纳尔逊·曼德拉 > 温斯顿·丘吉尔",A
66,请按照出生年份排序以下科学家:阿尔伯特·爱因斯坦（德国）、玛丽·居里（波兰）、查尔斯·达尔文（英国）、尼古拉·特斯拉（塞尔维亚）:A查尔斯·达尔文>尼古拉·特斯拉>阿尔伯特·爱因斯坦>玛丽·居里;B尼古拉·特斯拉>阿尔伯特·爱因斯坦>玛丽·居里>查尔斯·达尔文;C玛丽·居里>阿尔伯特·爱因斯坦>尼古拉·特斯拉>查尔斯·达尔文;,,"```markdown
Question: 请按照出生年份排序以下科学家:阿尔伯特·爱因斯坦（德国）、玛丽·居里（波兰）、查尔斯·达尔文（英国）、尼古拉·特斯拉（塞尔维亚）:A查尔斯·达尔文>尼古拉·特斯拉>阿尔伯特·爱因斯坦>玛丽·居里;B尼古拉·特斯拉>阿尔伯特·爱因斯坦>玛丽·居里>查尔斯·达尔文;C玛丽·居里>阿尔伯特·爱因斯坦>尼古拉·特斯拉>查尔斯·达尔文;

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供科学家历史信息的专家，旨在根据科学家的出生年份生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解科学家的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 科学家全名、国籍和出生年份：查尔斯·达尔文（1809年，英国）、尼古拉·特斯拉（1856年，塞尔维亚）、阿尔伯特·爱因斯坦（1879年，德国）、玛丽·居里（1867年，波兰）。
2. 核对选项中的科学家排序是否准确。
3. 科学家之间出生年份的差距，确保排序的准确性。
```","根据提出的问题和要求，我将提供三条提示词，帮助你找到科学家们的正确出生年份顺序：

1. **科学家全名、国籍和出生年份**：
   - 查尔斯·达尔文（1809年，英国）
   - 尼古拉·特斯拉（1856年，塞尔维亚）
   - 阿尔伯特·爱因斯坦（1879年，德国）
   - 玛丽·居里（1867年，波兰）

2. **核对选项中的科学家排序是否准确**：
   - 选项A排序：查尔斯·达尔文 > 尼古拉·特斯拉 > 阿尔伯特·爱因斯坦 > 玛丽·居里
     - 错误排序，因为玛丽·居里出生于1867年，早于阿尔伯特·爱因斯坦的1879年。
   - 选项B排序：尼古拉·特斯拉 > 阿尔伯特·爱因斯坦 > 玛丽·居里 > 查尔斯·达尔文
     - 错误排序，因为查尔斯·达尔文出生于1809年，早于其他所有人。
   - 选项C排序：玛丽·居里 > 阿尔伯特·爱因斯坦 > 尼古拉·特斯拉 > 查尔斯·达尔文
     - 错误排序，因为查尔斯·达尔文出生于1809年并且应排在最前。

3. **科学家之间出生年份的差距，确保排序的准确性**：
   - 查尔斯·达尔文（1809年）比尼古拉·特斯拉（1856年）早47年。
   - 尼古拉·特斯拉（1856年）比玛丽·居里（1867年）早11年。
   - 玛丽·居里（1867年）比阿尔伯特·爱因斯坦（1879年）早12年。
   - 综合排序应为查尔斯·达尔文 > 尼古拉·特斯拉 > 玛丽·居里 > 阿尔伯特·爱因斯坦。

所以，正确的科学家出生年份排序应为查尔斯·达尔文 > 尼古拉·特斯拉 > 玛丽·居里 > 阿尔伯特·爱因斯坦，即不存在于给定选项中的正确答案。

如果还有其他需求请您描述。",A
67,请按照年龄排序以下文艺复兴时期艺术家:列奥纳多·达·芬奇（意大利）、米开朗基罗（意大利）、拉斐尔（意大利）、提香（意大利）:A列奥纳多·达·芬奇>米开朗基罗>拉斐尔>提香;B米开朗基罗>提香>列奥纳多·达·芬奇>拉斐尔;C提香>拉斐尔>米开朗基罗>列奥纳多·达·芬奇;,,"```markdown
Question: 请按照年龄排序以下文艺复兴时期艺术家:列奥纳多·达·芬奇（意大利）、米开朗基罗（意大利）、拉斐尔（意大利）、提香（意大利）:A列奥纳多·达·芬奇>米开朗基罗>拉斐尔>提香;B米开朗基罗>提香>列奥纳多·达·芬奇>拉斐尔;C提香>拉斐尔>米开朗基罗>列奥纳多·达·芬奇;
Role: 艺术史学家
Profile: 你是一名专注于文艺复兴时期艺术家研究的专家，旨在根据文艺复兴艺术家的生卒年生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解文艺复兴时期艺术家的生卒年和主要作品。
2. 能够提供简明、准确的艺术家信息提示。
3. 熟悉文艺复兴时期的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 提供列奥纳多·达·芬奇、米开朗基罗、拉斐尔、提香的生卒年信息。
2. 提示文艺复兴时期主要艺术家的时间先后顺序。
3. 提供文艺复兴时期艺术家在当时的社会影响力和重要作品。
```","作为一名专注于文艺复兴时期艺术家研究的专家，我将提供这些艺术家的生卒年信息，以便你能够正确排序他们的年龄。以下是列奥纳多·达·芬奇、米开朗基罗、拉斐尔及提香的生卒年信息：

1. **列奥纳多·达·芬奇**:
   - 生于：1452年4月15日
   - 卒于：1519年5月2日

2. **米开朗基罗**:
   - 生于：1475年3月6日
   - 卒于：1564年2月18日

3. **拉斐尔**:
   - 生于：1483年4月6日
   - 卒于：1520年4月6日

4. **提香**:
   - 生于：约1488-1490年（具体年份不确定，但一般认为是约1488年）
   - 卒于：1576年8月27日

根据上述信息，我们可以确定他们的出生顺序：

按出生年份从早到晚排序为：
1. 列奥纳多·达·芬奇（1452年）
2. 米开朗基罗（1475年）
3. 拉斐尔（1483年）
4. 提香（约1488-1490年）

所以，正确的排序选项是：**A. 列奥纳多·达·芬奇>米开朗基罗>拉斐尔>提香**。

提示词：
1. 列奥纳多·达·芬奇的生卒年是1452年-1519年。
2. 米开朗基罗的生卒年是1475年-1564年。
3. 拉斐尔的生卒年是1483年-1520年。
4. 提香的生年约为1488-1490年，卒年是1576年。

希望这能帮助你准确地了解这些文艺复兴时期的重要艺术家的生卒年和相对年龄顺序。",A
